,Ticker
0,MDT
1,ABT
2,TMO
3,DHR
4,SYK
5,BDX
6,BSX
7,ISRG
8,BAX
9,EW
10,ZBH
11,BCR
12,IDXX
13,WAT
14,HOLX
15,RMD
16,VAR
17,TFX
18,STE
19,DXCM
20,ABMD
21,BIO
22,HRC
23,MASI
24,NUVA
25,IART
26,BRKR
27,WMGI
28,CMD
29,PEN
30,GMED
31,PODD
32,OMCL
33,NVRO
34,INGN
35,VREX
36,NXTM
37,CSII
38,BABY
39,OSUR
40,ALOG
41,BEAT
42,ATRI
43,KTWO
44,ATRC
45,GNMK
46,CRY
47,IVC
48,GKOS
49,ARAY
50,JNJ
51,PFE
52,MRK
53,UNH
54,AMGN
55,ABBV
56,CELG
57,BMY
58,GILD
59,LLY
60,AGN
61,BIIB
62,ANTM
63,AET
64,CI
65,ESRX
66,HUM
67,REGN
68,ZTS
69,VRTX
70,ALXN
71,ILMN
72,HCA
73,INCY
74,MYL
75,BMRN
76,DGX
77,LH
78,XRAY
79,HSIC
80,CNC
81,UHS
82,Q
83,PRGO
84,ALGN
85,DVA
86,COO
87,JAZZ
88,ALKS
89,WCG
90,WST
91,EVHC
92,SGEN
93,BIVV
94,IONS
95,UTHR
96,MD
97,TSRO
98,MNK
99,NBIX
100,HLS
101,CRL
102,TECH
103,ALR
104,ALNY
105,CTLT
106,PRXL
107,KITE
108,BLUE
109,PDCO
110,ACHC
111,MDCO
112,HCSG
113,AKRX
114,MOH
115,PBH
116,ACAD
117,ENDP
118,BKD
119,OPK
120,LPNT
121,PTLA
122,RARE
123,AGIO
124,HAE
125,LGND
126,ICPT
127,OMI
128,PCRX
129,JUNO
130,HYH
131,MGLN
132,HZNP
133,XON
134,MYGN
135,THC
136,RDUS
137,IPXL
138,CYH
139,-
140,NVAX
141,AQB
142,IRWD
143,TBPH
144,FOLD
145,CORT
146,PAHC
147,AERI
148,INVA
149,SGYP
150,LCI
151,AMPH
152,MACK
153,VNDA
154,RVNC
155,SCLN
156,DEPO
157,AMAG
158,DERM
159,SPPI
160,TXMD
161,ITCI
370,AAPL
371,MSFT
372,AMZN
374,FB
375,XOM
376,BRKB
377,JPM
378,GOOGL
379,GOOG
380,GE
381,WFC
382,T
383,BAC
384,PG
385,CVX
387,HD
388,VZ
389,CMCSA
390,PM
392,V
393,KO
394,CSCO
395,C
396,INTC
398,PEP
399,DIS
400,MO
401,ORCL
402,IBM
403,MCD
404,MMM
407,WMT
408,MA
410,BA
411,SLB
412,HON
413,AVGO
416,UTX
417,PCLN
418,SBUX
419,UNP
421,QCOM
422,USB
423,GS
424,TXN
425,CVS
427,NVDA
428,ACN
429,TWX
431,COST
433,LOW
434,UPS
435,WBA
436,NKE
437,MDLZ
438,CHTR
439,LMT
440,DOW
441,CL
443,ADBE
444,DD
445,NFLX
446,CB
447,NEE
448,MS
449,CAT
450,DUK
451,AXP
452,CRM
453,COP
454,PNC
455,AMT
456,PYPL
457,RAI
458,GD
459,MET
461,AIG
462,EOG
463,KHC
464,MON
466,SPG
467,SO
468,TJX
469,D
471,BK
472,BLK
473,SCHW
475,AMAT
476,OXY
477,RTN
478,FDX
479,CSX
480,KMB
481,PRU
482,GM
483,ADP
484,YHOO
485,NOC
486,ITW
487,F
490,HAL
491,CTSH
492,CME
493,JCI
495,TSLA
496,MMC
497,COF
498,ATVI
499,KMI
500,EMR
501,PX
503,CCI
505,SPGI
506,LUV
507,DAL
508,ICE
509,PSX
510,ETN
511,BBT
513,EBAY
514,TRV
516,AEP
517,ECL
518,DE
519,PCG
520,EQIX
521,AON
522,NSC
523,GIS
524,EA
525,EXC
526,HPQ
527,MAR
528,PSA
530,STZ
531,HPE
532,APD
533,ALL
534,TGT
535,INTU
536,MCK
537,AFL
538,PXD
540,PLD
541,APC
542,VLO
543,WM
544,ADI
545,STT
547,FOXA
548,MU
549,SRE
551,MPC
552,FIS
553,PPG
554,SYY
555,SHW
556,GLW
557,KR
558,STI
559,AVB
560,LYB
561,PPL
562,TEL
564,HCN
566,FISV
567,NWL
568,EIX
569,CCL
570,WMB
571,WDC
572,WY
573,BHI
574,ROST
575,ED
576,MTB
577,LRCX
578,PGR
579,CMI
581,EQR
582,ADM
585,VTR
586,YUM
587,XEL
588,DLPH
589,ORLY
590,IR
591,DFS
592,AAL
593,CAH
594,CBS
595,DXC
596,APH
597,ROP
598,PCAR
599,PEG
601,UAL
602,IP
604,LVS
605,SWK
606,PH
607,SYF
608,EL
609,ROK
610,DVN
611,CXO
612,WEC
613,ES
614,OMC
615,APA
616,AMP
617,AZO
618,KEY
619,MCO
620,DTE
621,MNST
622,SYMC
623,CERN
624,BXP
625,SWKS
626,NTRS
627,TMUS
628,DLTR
629,HIG
630,ADSK
631,LBTYK
632,DLR
633,FTV
634,NEM
635,PAYX
636,WLTW
637,A
638,DG
639,NUE
640,K
641,FITB
643,CFG
644,RCL
645,LVLT
646,TAP
647,ULTA
648,VFC
649,EXPE
650,MCHP
651,RF
652,CLX
653,TROW
654,DPS
655,COL
656,TSN
657,ESS
658,VMC
659,PFG
660,SBAC
661,MJN
662,NOW
663,EFX
664,XLNX
665,VNO
666,KLAC
667,CAG
669,HSY
670,FCX
671,RHT
672,MGM
673,INFO
674,SJM
675,BEN
676,LNC
677,O
678,FTI
679,HCP
681,MTD
682,MHK
683,NBL
685,ABC
686,DISH
688,MLM
689,RSG
693,BLL
694,AME
695,FRC
696,CMG
697,BBY
698,WHR
699,ETR
700,NLSN
701,CTL
702,GPN
703,GPC
704,HRS
705,MSI
706,AWK
707,ADS
708,HBAN
709,MKL
710,AEE
711,WRK
712,HST
713,FOX
714,MXIM
715,HES
716,CTXS
718,GGP
719,L
720,FE
721,LLL
722,CMS
723,NOV
724,CHD
725,DOV
726,FLT
727,TXT
728,COH
729,IVZ
