,Ticker,Weight (%),Asset Class
0,AAPL,3.38,Equity
1,MSFT,2.23,Equity
2,AMZN,1.6,Equity
3,JNJ,1.47,Equity
4,FB,1.46,Equity
5,XOM,1.46,Equity
6,BRKB,1.31,Equity
7,JPM,1.29,Equity
8,GOOGL,1.2,Equity
9,GOOG,1.16,Equity
10,GE,1.02,Equity
11,WFC,1.01,Equity
12,T,0.99,Equity
13,BAC,0.97,Equity
14,PG,0.94,Equity
15,CVX,0.85,Equity
16,PFE,0.82,Equity
17,HD,0.81,Equity
18,VZ,0.78,Equity
19,CMCSA,0.77,Equity
20,PM,0.76,Equity
21,MRK,0.74,Equity
22,V,0.73,Equity
23,KO,0.73,Equity
24,CSCO,0.73,Equity
25,C,0.71,Equity
26,INTC,0.71,Equity
27,UNH,0.7,Equity
28,PEP,0.7,Equity
29,DIS,0.66,Equity
30,MO,0.59,Equity
31,ORCL,0.57,Equity
32,IBM,0.56,Equity
33,MCD,0.51,Equity
34,MMM,0.5,Equity
35,AMGN,0.5,Equity
36,MDT,0.49,Equity
37,WMT,0.49,Equity
38,MA,0.47,Equity
39,ABBV,0.45,Equity
40,BA,0.44,Equity
41,SLB,0.42,Equity
42,HON,0.42,Equity
43,AVGO,0.4,Equity
44,CELG,0.39,Equity
45,BMY,0.39,Equity
46,UTX,0.38,Equity
47,PCLN,0.38,Equity
48,SBUX,0.37,Equity
49,UNP,0.37,Equity
50,GILD,0.36,Equity
51,QCOM,0.35,Equity
52,USB,0.34,Equity
53,GS,0.34,Equity
54,TXN,0.34,Equity
55,CVS,0.34,Equity
56,LLY,0.32,Equity
57,NVDA,0.32,Equity
58,ACN,0.32,Equity
59,TWX,0.32,Equity
60,ABT,0.32,Equity
61,COST,0.32,Equity
62,AGN,0.32,Equity
63,LOW,0.31,Equity
64,UPS,0.3,Equity
65,WBA,0.3,Equity
66,NKE,0.29,Equity
67,MDLZ,0.29,Equity
68,CHTR,0.29,Equity
69,LMT,0.29,Equity
70,DOW,0.29,Equity
71,CL,0.29,Equity
72,TMO,0.29,Equity
73,ADBE,0.29,Equity
74,DD,0.28,Equity
75,NFLX,0.28,Equity
76,CB,0.28,Equity
77,NEE,0.27,Equity
78,MS,0.25,Equity
79,CAT,0.25,Equity
80,DUK,0.25,Equity
81,AXP,0.25,Equity
82,CRM,0.25,Equity
83,COP,0.25,Equity
84,PNC,0.24,Equity
85,AMT,0.24,Equity
86,PYPL,0.24,Equity
87,RAI,0.23,Equity
88,GD,0.23,Equity
89,MET,0.23,Equity
90,BIIB,0.23,Equity
91,AIG,0.23,Equity
92,EOG,0.23,Equity
93,KHC,0.23,Equity
94,MON,0.22,Equity
95,DHR,0.21,Equity
96,SPG,0.21,Equity
97,SO,0.21,Equity
98,TJX,0.21,Equity
99,D,0.21,Equity
100,AET,0.21,Equity
101,BK,0.21,Equity
102,BLK,0.2,Equity
103,SCHW,0.2,Equity
104,ANTM,0.2,Equity
105,AMAT,0.2,Equity
106,OXY,0.2,Equity
107,RTN,0.2,Equity
108,FDX,0.2,Equity
109,CSX,0.2,Equity
110,USD,0.2,Cash
111,KMB,0.2,Equity
112,PRU,0.19,Equity
113,GM,0.19,Equity
114,ADP,0.19,Equity
115,YHOO,0.19,Equity
116,NOC,0.18,Equity
117,ITW,0.18,Equity
118,F,0.18,Equity
119,SYK,0.18,Equity
120,CI,0.17,Equity
121,HAL,0.17,Equity
122,CTSH,0.17,Equity
123,CME,0.17,Equity
124,JCI,0.17,Equity
125,BDX,0.17,Equity
126,TSLA,0.16,Equity
127,MMC,0.16,Equity
128,COF,0.16,Equity
129,ATVI,0.16,Equity
130,KMI,0.16,Equity
131,EMR,0.16,Equity
132,PX,0.16,Equity
133,ESRX,0.16,Equity
134,CCI,0.15,Equity
135,BSX,0.15,Equity
136,SPGI,0.15,Equity
137,LUV,0.15,Equity
138,DAL,0.15,Equity
139,ICE,0.15,Equity
140,PSX,0.15,Equity
141,ETN,0.15,Equity
142,BBT,0.15,Equity
143,REGN,0.15,Equity
144,EBAY,0.15,Equity
145,TRV,0.14,Equity
146,HUM,0.14,Equity
147,AEP,0.14,Equity
148,ECL,0.14,Equity
149,DE,0.14,Equity
150,PCG,0.14,Equity
151,EQIX,0.14,Equity
152,AON,0.14,Equity
153,NSC,0.14,Equity
154,GIS,0.14,Equity
155,EA,0.14,Equity
156,EXC,0.14,Equity
157,HPQ,0.14,Equity
158,MAR,0.14,Equity
159,PSA,0.14,Equity
160,ISRG,0.13,Equity
161,STZ,0.13,Equity
162,HPE,0.13,Equity
163,APD,0.13,Equity
164,ALL,0.13,Equity
165,TGT,0.13,Equity
166,INTU,0.13,Equity
167,MCK,0.13,Equity
168,AFL,0.13,Equity
169,PXD,0.13,Equity
170,ZTS,0.13,Equity
171,PLD,0.13,Equity
172,APC,0.12,Equity
173,VLO,0.12,Equity
174,WM,0.12,Equity
175,ADI,0.12,Equity
176,STT,0.12,Equity
177,VRTX,0.12,Equity
178,FOXA,0.12,Equity
179,MU,0.12,Equity
180,SRE,0.12,Equity
181,BAX,0.12,Equity
182,MPC,0.12,Equity
183,FIS,0.12,Equity
184,PPG,0.12,Equity
185,SYY,0.12,Equity
186,SHW,0.11,Equity
187,GLW,0.11,Equity
188,KR,0.11,Equity
189,STI,0.11,Equity
190,AVB,0.11,Equity
191,LYB,0.11,Equity
192,PPL,0.11,Equity
193,TEL,0.11,Equity
194,ALXN,0.11,Equity
195,HCN,0.11,Equity
196,ILMN,0.11,Equity
197,FISV,0.11,Equity
198,NWL,0.11,Equity
199,EIX,0.11,Equity
200,CCL,0.11,Equity
201,WMB,0.11,Equity
202,WDC,0.11,Equity
203,WY,0.11,Equity
204,BHI,0.11,Equity
205,ROST,0.1,Equity
206,ED,0.1,Equity
207,MTB,0.1,Equity
208,LRCX,0.1,Equity
209,PGR,0.1,Equity
210,CMI,0.1,Equity
211,EW,0.1,Equity
212,EQR,0.1,Equity
213,ADM,0.1,Equity
214,ZBH,0.1,Equity
215,HCA,0.1,Equity
216,VTR,0.1,Equity
217,YUM,0.1,Equity
218,XEL,0.1,Equity
219,DLPH,0.1,Equity
220,ORLY,0.1,Equity
221,IR,0.1,Equity
222,DFS,0.1,Equity
223,AAL,0.1,Equity
224,CAH,0.1,Equity
225,CBS,0.1,Equity
226,DXC,0.1,Equity
227,APH,0.1,Equity
228,ROP,0.1,Equity
229,PCAR,0.1,Equity
230,BLKFDS,0.09,Money Market
231,PEG,0.09,Equity
232,BCR,0.09,Equity
233,UAL,0.09,Equity
234,IP,0.09,Equity
235,INCY,0.09,Equity
236,LVS,0.09,Equity
237,SWK,0.09,Equity
238,PH,0.09,Equity
239,SYF,0.09,Equity
240,EL,0.09,Equity
241,ROK,0.08,Equity
242,DVN,0.08,Equity
243,CXO,0.08,Equity
244,WEC,0.08,Equity
245,ES,0.08,Equity
246,OMC,0.08,Equity
247,APA,0.08,Equity
248,AMP,0.08,Equity
249,AZO,0.08,Equity
250,KEY,0.08,Equity
251,MCO,0.08,Equity
252,DTE,0.08,Equity
253,MNST,0.08,Equity
254,SYMC,0.08,Equity
255,CERN,0.08,Equity
256,BXP,0.08,Equity
257,SWKS,0.08,Equity
258,NTRS,0.08,Equity
259,TMUS,0.08,Equity
260,DLTR,0.08,Equity
261,HIG,0.08,Equity
262,ADSK,0.08,Equity
263,LBTYK,0.08,Equity
264,DLR,0.08,Equity
265,FTV,0.08,Equity
266,NEM,0.08,Equity
267,PAYX,0.08,Equity
268,WLTW,0.08,Equity
269,A,0.08,Equity
270,DG,0.08,Equity
271,NUE,0.08,Equity
272,K,0.08,Equity
273,FITB,0.08,Equity
274,MYL,0.08,Equity
275,CFG,0.08,Equity
276,RCL,0.07,Equity
277,LVLT,0.07,Equity
278,TAP,0.07,Equity
279,ULTA,0.07,Equity
280,VFC,0.07,Equity
281,EXPE,0.07,Equity
282,MCHP,0.07,Equity
283,RF,0.07,Equity
284,CLX,0.07,Equity
285,TROW,0.07,Equity
286,DPS,0.07,Equity
287,COL,0.07,Equity
288,TSN,0.07,Equity
289,ESS,0.07,Equity
290,VMC,0.07,Equity
291,PFG,0.07,Equity
