,Ticker,Weight (%),Asset Class
0,JNJ,11.64,Equity
1,PFE,6.49,Equity
2,MRK,5.86,Equity
3,UNH,5.5,Equity
4,AMGN,3.92,Equity
5,MDT,3.83,Equity
6,ABBV,3.53,Equity
7,CELG,3.08,Equity
8,BMY,3.08,Equity
9,GILD,2.85,Equity
10,LLY,2.57,Equity
11,ABT,2.52,Equity
12,AGN,2.5,Equity
13,TMO,2.26,Equity
14,BIIB,1.84,Equity
15,DHR,1.69,Equity
16,ANTM,1.58,Equity
17,AET,1.56,Equity
18,SYK,1.4,Equity
19,CI,1.38,Equity
20,BDX,1.31,Equity
21,ESRX,1.22,Equity
22,BSX,1.2,Equity
23,REGN,1.15,Equity
24,HUM,1.14,Equity
25,ISRG,1.06,Equity
26,ZTS,0.99,Equity
27,VRTX,0.96,Equity
28,BAX,0.94,Equity
29,ALXN,0.88,Equity
30,ILMN,0.87,Equity
31,EW,0.8,Equity
32,ZBH,0.8,Equity
33,HCA,0.8,Equity
34,BCR,0.74,Equity
35,INCY,0.69,Equity
36,MYL,0.6,Equity
37,BMRN,0.52,Equity
38,DGX,0.49,Equity
39,IDXX,0.48,Equity
40,XRAY,0.48,Equity
41,LH,0.48,Equity
42,WAT,0.47,Equity
43,HSIC,0.47,Equity
44,CNC,0.44,Equity
45,HOLX,0.4,Equity
46,Q,0.36,Equity
47,UHS,0.36,Equity
48,PRGO,0.35,Equity
49,ALGN,0.35,Equity
50,COO,0.35,Equity
51,DVA,0.34,Equity
52,RMD,0.32,Equity
53,VAR,0.3,Equity
54,JAZZ,0.3,Equity
55,ALKS,0.29,Equity
56,TFX,0.29,Equity
57,WCG,0.25,Equity
58,WST,0.24,Equity
59,EVHC,0.22,Equity
60,STE,0.21,Equity
61,SGEN,0.21,Equity
62,DXCM,0.19,Equity
63,BIVV,0.19,Equity
64,UTHR,0.18,Equity
65,ABMD,0.18,Equity
66,IONS,0.18,Equity
67,MD,0.18,Equity
68,ALNY,0.17,Equity
69,TSRO,0.17,Equity
70,NBIX,0.16,Equity
71,BIO,0.15,Equity
72,MNK,0.15,Equity
73,HRC,0.15,Equity
74,CRL,0.14,Equity
75,CTLT,0.14,Equity
76,ALR,0.14,Equity
77,TECH,0.14,Equity
78,HLS,0.14,Equity
79,PRXL,0.14,Equity
80,NUVA,0.12,Equity
81,BLUE,0.12,Equity
82,PDCO,0.12,Equity
83,KITE,0.12,Equity
84,HCSG,0.11,Equity
85,ACHC,0.11,Equity
86,MDCO,0.11,Equity
87,USD,0.1,Cash
88,AKRX,0.1,Equity
89,MOH,0.1,Equity
90,BRKR,0.09,Equity
91,PBH,0.09,Equity
92,BKD,0.09,Equity
93,ACAD,0.09,Equity
94,ENDP,0.08,Equity
95,LPNT,0.08,Equity
96,OPK,0.08,Equity
97,RARE,0.08,Equity
98,PTLA,0.08,Equity
99,LGND,0.07,Equity
100,BLKFDS,0.07,Money Market
101,HAE,0.07,Equity
102,AGIO,0.07,Equity
103,ICPT,0.07,Equity
104,OMI,0.07,Equity
105,JUNO,0.06,Equity
106,PCRX,0.06,Equity
107,HZNP,0.06,Equity
108,HYH,0.06,Equity
109,MGLN,0.05,Equity
110,XON,0.05,Equity
111,MYGN,0.05,Equity
112,THC,0.05,Equity
113,VREX,0.04,Equity
114,RDUS,0.04,Equity
115,IPXL,0.04,Equity
116,CYH,0.04,Equity
117,-,0.01,Equity
118,NVAX,0.01,Equity
119,AQB,0.0,Equity
120, ,,
