,Ticker,Weight (%),Asset Class
0,MDT,11.1,Equity
1,ABT,8.17,Equity
2,TMO,7.71,Equity
3,DHR,6.07,Equity
4,SYK,5.42,Equity
5,BDX,5.13,Equity
6,BSX,4.88,Equity
7,ISRG,4.5,Equity
8,BAX,4.05,Equity
9,EW,3.76,Equity
10,ZBH,3.67,Equity
11,BCR,3.61,Equity
12,IDXX,2.56,Equity
13,WAT,2.5,Equity
14,HOLX,2.18,Equity
15,RMD,1.85,Equity
16,VAR,1.83,Equity
17,TFX,1.73,Equity
18,STE,1.42,Equity
19,DXCM,1.28,Equity
20,ABMD,1.25,Equity
21,BIO,1.13,Equity
22,HRC,1.09,Equity
23,MASI,0.93,Equity
24,NUVA,0.91,Equity
25,IART,0.78,Equity
26,BRKR,0.77,Equity
27,WMGI,0.77,Equity
28,CMD,0.69,Equity
29,PEN,0.69,Equity
30,GMED,0.68,Equity
31,PODD,0.64,Equity
32,OMCL,0.5,Equity
33,NVRO,0.5,Equity
34,INGN,0.47,Equity
35,VREX,0.45,Equity
36,NXTM,0.42,Equity
37,CSII,0.4,Equity
38,BABY,0.39,Equity
39,OSUR,0.34,Equity
40,ALOG,0.34,Equity
41,BEAT,0.32,Equity
42,ATRI,0.31,Equity
43,KTWO,0.31,Equity
44,ATRC,0.29,Equity
45,GNMK,0.27,Equity
46,CRY,0.24,Equity
47,IVC,0.23,Equity
48,GKOS,0.2,Equity
49,ARAY,0.16,Equity
50,BLKFDS,0.1,Money Market
51,USD,0.04,Cash
52, ,,
