,Ticker,Weight (%),Asset Class
0,JNJ,9.85,Equity
1,PFE,8.04,Equity
2,MRK,7.68,Equity
3,BMY,6.13,Equity
4,LLY,5.77,Equity
5,AGN,5.77,Equity
6,ZTS,4.56,Equity
7,MYL,3.3,Equity
8,PRGO,3.09,Equity
9,JAZZ,3.08,Equity
10,AKRX,2.38,Equity
11,CTLT,2.26,Equity
12,MNK,2.15,Equity
13,IPXL,2.13,Equity
14,ENDP,2.12,Equity
15,TSRO,1.99,Equity
16,MDCO,1.87,Equity
17,PCRX,1.82,Equity
18,IRWD,1.78,Equity
19,PBH,1.74,Equity
20,TBPH,1.69,Equity
21,FOLD,1.33,Equity
22,CORT,1.28,Equity
23,PAHC,1.25,Equity
24,AERI,1.21,Equity
25,HZNP,1.19,Equity
26,INVA,1.17,Equity
27,SGYP,1.16,Equity
28,LCI,1.15,Equity
29,AMPH,1.13,Equity
30,MACK,1.12,Equity
31,VNDA,1.08,Equity
32,RVNC,1.05,Equity
33,SCLN,1.01,Equity
34,DEPO,0.97,Equity
35,AMAG,0.97,Equity
36,DERM,0.96,Equity
37,SPPI,0.93,Equity
38,TXMD,0.88,Equity
39,ITCI,0.8,Equity
40,USD,0.13,Cash
41,BLKFDS,0.05,Money Market
42, ,,
